"UPALNR";"ARTIKELNR";"Reichweite_Tage"
"8363421050";"03309710ET0001";0
"8365205573";"05268200ET0001";0
"8363593870";"01518100ET0016";0
"8338295648";R910109754;0
"8365095631";"00123700ET0001";0
"8364342941";"07593500ET0001";0
"8365626064";"00617600ET0016";0
"8361625986";R902003862;0
"8365233217";"07935100ET0001";0
"8360443529";"06941400ET0001";0
"1039097603";R909921744;0
"8361871253";"02333700ET0001";0
"8365490443";"00743910ET0001";0
"8362342578";"07833000ET0001";0
"8363734976";"09073200ET0001";0
"8363441676";"01297800ET0001";0
"8365042420";"04314200ET0001";0
"8365581837";"05974800ET0001";0
"8365083805";"00927500ET0001";0
"8365334532";"07757890ET0001";0
"8364498259";"02663500ET0001";0
"8365058667";R902191416;0
"8358832380";R902120458;0
"8365198127";R902003862;0
"8365629874";"07857100ET0001";0
"8364128132";"03665000ET0001";0
"8302556058";R902972082;0
"8360586103";R902007711;0
"8365636537";"05576300ET0001";0
"8362326011";"01955800ET0001";0
"8354118471";R902120458;0
"8365496469";"01760900ET0025";0
"8365325875";"05055500ET0001";0
"8363751324";"03102200ET0001";0
"8364623859";"03132110ET0001";0
"8363488237";"01662400ET0001";0
"8354854553";R000000892;0
"8364778658";"04344900ET0010";0
"8362896804";"06907400ET0001";0
"8363759351";"09407600ET0001";0
"8359720365";R902260717;0
"8361657659";"07071800ET0025";0
"8364862623";"05077300ET0001";0
"8362767074";"01105070ET0025";0
"8242865630";R000000892;0
"8364586703";"03296060ET0001";0
"8364824133";"00588800ET0001";0
"8363216960";R902246074;0
"8364772014";"08459800ET0001";0
"8364487802";"00120010ET0001";0
"8361671761";"04403020ET0001";0
"1039091618";"02363400ET0001";0
"8365155748";"05894700ET0001";0
"8361501785";"05065500ET0016";0
"8365490863";"07076400ET0001";0
"8362747946";"03763500ET0001";0
"8364342972";"04720400ET0001";0
"8363645777";"01497000ET0001";0
"8364450356";R909154293;0
"8365589192";"02276200ET0001";0
"8363637543";R902114460;0
"8364372849";"04557400ET0001";0
"8352520528";R902120458;0
"8365057837";"05970000ET0001";0
"8364030688";"01917010ET0001";0
"8365052719";"00748700ET0025";0
"8365077927";"00549300ET0001";0
"8365313391";"05986200ET0001";0
"8365453639";"05820800ET0001";0
"1039552768";"08779200ET0001";0
"8346202867";R902542475;0
"8364848788";"00103700ET0001";0
"8365092388";"04562100ET0001";0
"8365203135";"03730800ET0001";0
"8363891273";"06603600ET0001";0
"8363641656";R902295160;0
"8293973025";R902279077;0
"8363920751";"03548110ET0002";0
"8365326605";"04770100ET0001";0
"8365062510";R902003862;0
"8363946904";"02471200ET0001";0
"8365339278";"04958000ET0001";0
"1039091557";"08393500ET0001";0
"8363932334";"08201140ET0001";0
"1039091212";"01384300ET0001";0
"8364873230";R902191416;0
"8363348579";"01275400ET0001";0
"8362515491";"09194970ET0001";0
"8362173530";"06210820ET0001";0
"8365354035";"06500000ET0001";0
"8364042766";"07277200ET0001";0
"8363414274";"03746500ET0001";0
"8351539927";R000000892;0
"8356049551";R902099968;0
"8362634703";"07497720ET0001";0
"8363189622";"02432050ET0025";0
"8364146495";"05693500ET0001";0
"1039091632";"03553400ET0001";0
"8361762858";"04354100ET0001";0
"8358854412";R909243333;0
"8363464316";"08016500ET0004";0
"8365175180";"09259600ET0001";0
"8365231794";R902120458;0
"8365626064";"01700400ET0001";0
"8364774049";"05755100ET0001";0
"8365051224";"04126030ET0005";0
"8365070607";"01562210ET0001";0
"8365453349";R902584205;0
"8365238151";"07464000ET0001";0
"8344509517";R910789526;0
"8365231794";"04773400ET0001";0
"8361485603";"09271900ET0001";0
"8363640765";"01906400ET0001";0
"8362504785";"00200200ET0016";0
"8363645777";"06917800ET0001";0
"8363892867";"000000000000119850";0
"8365285186";"03369990ET0001";0
"8365076913";"01023000ET0001";0
"8351074602";R902120458;0
"8362300882";"04591500ET0001";0
"8364872844";R902272379;0
"8365197601";"05636200ET0001";0
"8363637154";"05696700ET0001";0
"8363641663";R902295160;0
"8147642572";R000000892;0
"1039091427";"05849700ET0001";0
"8364137851";R902016400;0
"1039091557";"05953200ET0001";0
"1039539561";"07368100ET0001";0
"8363140302";"02353810ET0001";0
"8364743700";"07689290ET0001";0
"8365624428";R902295160;0
"8365636537";"02446000ET0001";0
"8365239561";"09154910ET0001";0
"8361314606";R902029180;0
"8363227287";"07376600ET0001";0
"8364138988";"00270720ET0001";0
"8361774189";"07303000ET0001";0
"8365628303";"03540900ET0001";0
"1039091106";"04267800ET0004";0
"8365058162";R902029526;0
"8365345415";"00070510ET0001";0
"8361731502";"00602200ET0001";0
"8364873278";"04248410ET0001";0
"8343531649";R910274011;0
"8365562430";"08346970ET0001";0
"8364218383";"09155800ET0001";0
"8362725401";"01229040ET0025";0
"8077192239";R000000892;0
"8348641800";R910961017;0
"8365473132";R902120458;0
"8364488304";"03672800ET0001";0
"8364743359";"00768920ET0001";0
"8363790255";"04766910ET0004";0
"8363372260";"02318510ET0001";0
"8363421913";"01336700ET0001";0
"8364749313";"06947110ET0001";0
"8362954276";"02613300ET0001";0
"8361970987";R909651119;0
"8363078650";R902127981;0
"8365057554";"07220800ET0004";0
"8364592711";"04470500ET0001";0
"8364303966";"01475810ET0002";0
"8360404346";"01276100ET0001";0
"8364062269";"01993400ET0010";0
"8363495853";"00832200ET0001";0
"8363898692";"06488500ET0001";0
"8364753686";"06899400ET0001";0
"8365034029";"07289900ET0001";0
"8363140302";"09050100ET0010";0
"1039552768";"0B143100ET0001";0
"8365067744";"07573210ET0001";0
"8354048112";R902025595;0
"8365453561";"05305600ET0001";0
"8353311965";R902120458;0
"8364139503";"03694700ET0001";0
"8342086812";R902400818;0
"8364743700";"00089210ET0001";0
"1039091199";"09023700ET0001";0
"8364594937";R902295160;0
"8364218383";"05576300ET0001";0
"8365480765";R909921845;0
"8364599888";R909430794;0
"8362362088";"07732800ET0002";0
"8363493972";"08981000ET0001";0
"8360349371";"00232000ET0001";0
"8362242533";"00165710ET0001";0
"8363110213";"02484000ET0001";0
"8222782421";R000000892;0
"8363306302";"05841600ET0001";0
"8363269058";"01993600ET0010";0
"8365198103";R902003862;0
"8364862272";R902249196;0
"8365327138";"04288500ET0001";0
"8363629494";"01308500ET0001";0
"8365062558";"07388320ET0004";0
"8363618375";R000000892;0
"8364618565";"09245400ET0001";0
"8365636537";"06334630ET0001";0
"8364152892";"03112900ET0001";0
"8364139503";"00624300ET0001";0
"8363435514";"03548020ET0001";0
"8364728431";"01334220ET0001";0
"1039091151";"05234500ET0001";0
"8365351652";"02542500ET0001";0
"8362938030";"07186900ET0001";0
"8362240218";"05874100ET0001";0
