"PALNR";"PLATZ";"Einlagerung";"letzte_Bewegung";"Verweildauer";"ABC_Klasse_System";"ABC_Klasse_Neu"
"8363105073";"021302603";2025-09-02 00:00:00.000;2025-09-11 00:00:00.000;169;B;
"8362928840";"021105400";2025-09-03 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8362878787";"022203304";2025-09-05 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351094709";"021400500";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;B
"8351074862";"022303407";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351074831";"022303907";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8362896101";"022402808";2025-09-02 00:00:00.000;2025-09-11 00:00:00.000;169;B;
"8362669668";"020406707";2025-09-01 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351074855";"022303307";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351011454";"021001004";2025-09-10 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351074893";"022303208";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8362929045";"021106500";2025-08-29 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8362940514";"021602707";2025-09-04 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351074893";"022303208";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8362737688";"020402700";2025-09-05 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351074701";"022303806";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8362669811";"020601104";2025-09-02 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351074589";"022303910";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351035269";"020807200";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;B
"8362929816";"020905400";2025-08-29 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351074602";"022303709";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351074824";"022303810";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351074732";"022304209";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
